school Name,sex,age,address,famsize,parent's cohabitation status,mother's education,father's education,mother's job,father's job,reason to choose this school,guardian,traveltime,studytime,failures,extra educational support,family educational support,extra paid classes,extra-curricular activities,attended nursery,wants to take higher education,internet,romantic,family relationship,freetime,going out with friends,daily alcohol consumption,weekend alcohol consumption,health,absences,Assignments grade,Midterm grade,Final Grade,Total Grades,Daily alcohol label,going out with friends label,famrel label
GP,F,17,urban,Greater than 3,living together,primary education,primary education,at_home,other,course,father,less than 15 min,2 to 5 hours,0,no,yes,no,no,no,yes,yes,no,5,3,3,1,1,Average,4,5,5,6,16,Very Low,Moderate,Excellent
GP,F,16,urban,Greater than 3,living together,secondary education,secondary education,other,other,near to home,father,less than 15 min,2 to 5 hours,0,no,yes,yes,no,yes,yes,no,no,4,3,2,1,2,Excellent,4,6,10,10,26,Very Low,Low,Good
GP,M,16,urban,Less than 3,living together,higher education,secondary education,services,other,reputation,mother,less than 15 min,2 to 5 hours,0,no,yes,yes,yes,yes,yes,yes,no,5,4,2,1,2,Excellent,10,15,15,15,45,Very Low,Low,Excellent
GP,M,16,urban,Less than 3,living together,middle education,middle education,other,other,near to home,mother,less than 15 min,2 to 5 hours,0,no,no,no,no,yes,yes,yes,no,4,4,4,1,1,Average,0,12,12,11,35,Very Low,High,Good
GP,M,15,urban,Less than 3,apart,secondary education,middle education,services,other,near to home,mother,less than 15 min,2 to 5 hours,0,no,yes,yes,no,yes,yes,yes,no,4,2,2,1,1,Very bad,0,16,18,19,53,Very Low,Low,Good
GP,M,15,urban,Greater than 3,living together,secondary education,higher education,other,other,near to home,mother,less than 15 min,2 to 5 hours,0,no,yes,yes,yes,yes,yes,yes,no,5,5,1,1,1,Excellent,0,14,15,15,44,Very Low,Very Low,Excellent
GP,F,15,urban,Greater than 3,living together,middle education,primary education,services,other,reputation,father,30 min to 1 hour,5 to 10 hours,0,no,yes,no,yes,yes,yes,yes,no,5,2,2,1,1,Good,4,10,12,12,34,Very Low,Low,Excellent
GP,M,15,urban,Greater than 3,living together,higher education,secondary education,teacher,other,course,mother,15 to 30 min to 1 hour0 min,2 to 5 hours,0,no,yes,yes,no,yes,yes,yes,no,5,4,3,1,2,Average,2,10,10,11,31,Very Low,Moderate,Excellent
GP,M,15,urban,Greater than 3,apart,middle education,middle education,other,other,near to home,other,less than 15 min,5 to 10 hours,0,no,yes,no,no,yes,yes,yes,yes,4,5,2,1,1,Average,0,14,16,16,46,Very Low,Low,Good
GP,F,16,urban,Greater than 3,living together,higher education,higher education,health,other,near to home,mother,less than 15 min,<2 to 5 hours hours,0,no,yes,no,no,yes,yes,yes,no,4,4,4,1,2,Bad,4,14,14,14,42,Very Low,High,Good
GP,F,16,urban,Greater than 3,living together,secondary education,secondary education,other,other,reputation,mother,30 min to 1 hour,2 to 5 hours,0,yes,yes,no,yes,yes,yes,no,no,5,3,2,1,1,Good,4,8,10,10,28,Very Low,Low,Excellent
GP,M,16,urban,Less than 3,living together,higher education,secondary education,health,other,near to home,father,less than 15 min,<2 to 5 hours hours,0,no,no,yes,yes,yes,yes,yes,no,3,1,3,1,3,Excellent,4,8,10,10,28,Very Low,Moderate,Average
GP,M,15,urban,Greater than 3,living together,higher education,secondary education,teacher,other,reputation,mother,less than 15 min,2 to 5 hours,0,no,no,no,no,yes,yes,yes,no,4,4,1,1,1,Very bad,0,13,14,15,42,Very Low,Very Low,Good
GP,M,16,urban,Less than 3,living together,higher education,middle education,teacher,other,course,mother,less than 15 min,2 to 5 hours,0,no,no,no,yes,yes,yes,yes,no,4,5,1,1,3,Excellent,2,15,15,16,46,Very Low,Very Low,Good
GP,M,15,urban,Greater than 3,living together,middle education,middle education,other,other,near to home,mother,less than 15 min,<2 to 5 hours hours,0,no,yes,yes,no,yes,yes,yes,no,4,2,2,1,2,Excellent,2,12,12,11,35,Very Low,Low,Good
GP,M,16,urban,Less than 3,apart,secondary education,higher education,services,other,near to home,mother,less than 15 min,2 to 5 hours,0,yes,yes,no,yes,yes,yes,yes,no,5,3,3,1,1,Excellent,4,11,11,11,33,Very Low,Moderate,Excellent
GP,M,15,urban,Less than 3,living together,secondary education,secondary education,other,other,course,mother,less than 15 min,2 to 5 hours,0,no,no,no,yes,no,yes,yes,no,5,3,2,1,1,Bad,0,8,10,12,30,Very Low,Low,Excellent
GP,M,16,urban,Greater than 3,living together,secondary education,middle education,other,other,near to home,mother,less than 15 min,<2 to 5 hours hours,0,no,yes,yes,no,no,yes,yes,no,5,4,3,1,1,Excellent,0,12,14,15,41,Very Low,Moderate,Excellent
GP,F,15,urban,Greater than 3,living together,middle education,secondary education,other,other,other,father,15 to 30 min to 1 hour0 min,<2 to 5 hours hours,0,no,yes,no,yes,yes,yes,no,no,3,5,1,1,1,Excellent,0,8,7,6,21,Very Low,Very Low,Average
GP,F,15,rural,Greater than 3,living together,middle education,middle education,at_home,other,reputation,mother,less than 15 min,<2 to 5 hours hours,0,yes,yes,yes,yes,yes,yes,no,no,4,3,1,1,1,Bad,8,14,13,13,40,Very Low,Very Low,Good
GP,F,15,urban,Less than 3,apart,higher education,secondary education,other,other,course,mother,less than 15 min,2 to 5 hours,0,yes,yes,yes,yes,yes,yes,yes,yes,5,2,2,1,1,Excellent,8,8,8,6,22,Very Low,Low,Excellent
GP,F,15,urban,Less than 3,living together,higher education,middle education,health,other,other,mother,less than 15 min,2 to 5 hours,0,no,yes,yes,no,yes,yes,yes,no,4,3,3,1,1,Excellent,2,11,13,13,37,Very Low,Moderate,Good
GP,F,16,urban,Greater than 3,apart,middle education,primary education,other,other,other,mother,less than 15 min,2 to 5 hours,0,no,no,yes,yes,yes,yes,yes,yes,5,3,4,1,1,Bad,8,8,9,10,27,Very Low,High,Excellent
GP,F,16,urban,Greater than 3,living together,higher education,middle education,services,other,course,mother,less than 15 min,2 to 5 hours,0,no,yes,no,no,yes,yes,yes,no,4,2,3,1,1,Excellent,2,15,16,16,47,Very Low,Moderate,Good
GP,F,16,urban,Greater than 3,living together,secondary education,primary education,services,other,course,mother,less than 15 min,>10 hours,0,yes,yes,yes,no,yes,yes,yes,no,4,3,3,1,2,Excellent,4,7,7,6,20,Very Low,Moderate,Good
GP,M,16,urban,Greater than 3,living together,secondary education,primary education,other,other,reputation,father,15 to 30 min to 1 hour0 min,>10 hours,0,no,yes,yes,no,yes,yes,yes,no,4,3,2,1,1,Excellent,0,13,15,15,43,Very Low,Low,Good
GP,M,15,urban,Greater than 3,living together,higher education,middle education,other,other,course,mother,less than 15 min,>10 hours,0,no,no,no,no,yes,yes,yes,no,3,3,3,1,1,Average,0,10,10,10,30,Very Low,Moderate,Average
GP,M,15,urban,Greater than 3,living together,higher education,none,teacher,other,course,mother,15 to 30 min to 1 hour0 min,>10 hours,0,no,no,no,yes,yes,yes,yes,no,3,4,3,1,1,Very bad,8,11,11,10,32,Very Low,Moderate,Average
GP,F,16,urban,Greater than 3,living together,middle education,middle education,other,other,reputation,mother,less than 15 min,>10 hours,0,no,no,yes,no,yes,yes,yes,yes,5,2,3,1,3,Average,0,11,11,11,33,Very Low,Moderate,Excellent
GP,F,16,urban,Greater than 3,living together,secondary education,higher education,at_home,other,course,mother,less than 15 min,2 to 5 hours,0,no,yes,no,no,yes,yes,yes,no,2,4,3,1,2,Average,12,5,5,5,15,Very Low,Moderate,Bad
GP,M,15,urban,Greater than 3,living together,middle education,secondary education,other,other,near to home,mother,less than 15 min,5 to 10 hours,0,yes,no,yes,no,no,yes,yes,no,5,3,2,1,2,Excellent,4,11,10,11,32,Very Low,Low,Excellent
GP,F,15,urban,Less than 3,living together,secondary education,middle education,services,other,reputation,mother,less than 15 min,2 to 5 hours,0,no,yes,yes,no,yes,yes,yes,no,4,4,4,1,1,Excellent,10,7,6,6,19,Very Low,High,Good
GP,F,16,urban,Less than 3,living together,middle education,middle education,at_home,other,course,mother,less than 15 min,2 to 5 hours,0,no,yes,no,no,yes,yes,no,no,4,3,4,1,2,Bad,4,8,7,6,21,Very Low,High,Good
GP,F,15,urban,Greater than 3,living together,higher education,middle education,other,other,reputation,mother,less than 15 min,5 to 10 hours,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,3,Very bad,4,13,14,14,41,Very Low,Moderate,Excellent
GP,F,16,urban,Greater than 3,living together,secondary education,secondary education,other,other,near to home,mother,less than 15 min,5 to 10 hours,0,no,yes,yes,no,yes,yes,yes,yes,4,3,3,1,3,Good,0,7,7,8,22,Very Low,Moderate,Good
GP,F,15,urban,Greater than 3,living together,higher education,secondary education,services,other,reputation,mother,less than 15 min,<2 to 5 hours hours,0,no,no,yes,yes,yes,yes,yes,no,4,5,5,1,3,Very bad,4,16,17,18,51,Very Low,Very High,Good
GP,M,16,rural,Greater than 3,living together,higher education,secondary education,services,other,reputation,mother,15 to 30 min to 1 hour0 min,<2 to 5 hours hours,0,yes,yes,no,yes,no,yes,yes,no,3,3,3,1,1,Good,2,11,15,15,41,Very Low,Moderate,Average
GP,F,16,urban,Greater than 3,living together,middle education,primary education,other,other,course,mother,less than 15 min,2 to 5 hours,0,no,yes,yes,no,yes,yes,no,yes,4,3,5,1,1,Excellent,2,8,9,10,27,Very Low,Very High,Good
GP,F,16,urban,Greater than 3,living together,higher education,higher education,other,other,reputation,mother,less than 15 min,<2 to 5 hours hours,0,no,no,no,yes,no,yes,yes,no,5,3,4,1,2,Very bad,6,11,14,14,39,Very Low,High,Excellent
GP,M,15,urban,Greater than 3,living together,higher education,higher education,services,other,course,mother,less than 15 min,<2 to 5 hours hours,0,no,yes,no,yes,no,yes,yes,no,5,3,3,1,1,Excellent,4,10,13,14,37,Very Low,Moderate,Excellent
GP,F,15,urban,Greater than 3,living together,secondary education,middle education,services,other,near to home,mother,15 to 30 min to 1 hour0 min,2 to 5 hours,0,yes,yes,yes,no,yes,yes,yes,no,4,3,5,1,1,Bad,26,7,6,6,19,Very Low,Very High,Good
GP,M,15,urban,Greater than 3,apart,secondary education,higher education,services,other,course,mother,less than 15 min,2 to 5 hours,0,no,yes,yes,yes,yes,yes,yes,no,5,4,4,1,1,Very bad,0,16,18,18,52,Very Low,High,Excellent
GP,F,15,urban,Greater than 3,living together,middle education,middle education,other,other,course,mother,less than 15 min,>10 hours,0,yes,yes,yes,no,yes,yes,yes,no,5,1,2,1,1,Average,8,7,8,8,23,Very Low,Low,Excellent
GP,M,16,urban,Greater than 3,living together,secondary education,secondary education,services,other,near to home,father,less than 15 min,5 to 10 hours,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,1,Excellent,2,16,18,18,52,Very Low,Moderate,Excellent
GP,M,15,urban,Less than 3,living together,higher education,middle education,teacher,other,course,mother,less than 15 min,<2 to 5 hours hours,0,no,no,no,no,yes,yes,yes,no,3,5,2,1,1,Average,10,18,19,19,56,Very Low,Low,Average
GP,M,15,urban,Greater than 3,living together,secondary education,higher education,other,other,reputation,father,less than 15 min,<2 to 5 hours hours,0,no,no,no,no,yes,yes,yes,no,3,4,3,1,2,Good,6,14,13,13,40,Very Low,Moderate,Average
GP,M,16,urban,Greater than 3,living together,higher education,higher education,health,other,course,mother,less than 15 min,<2 to 5 hours hours,0,no,yes,no,yes,yes,yes,yes,no,3,4,4,1,4,Excellent,18,14,11,13,38,Very Low,High,Average
GP,F,16,urban,Greater than 3,living together,middle education,middle education,other,other,near to home,mother,less than 15 min,2 to 5 hours,0,no,no,yes,no,yes,yes,yes,yes,5,4,4,1,1,Excellent,0,8,7,8,23,Very Low,High,Excellent
GP,F,15,urban,Less than 3,apart,secondary education,higher education,other,other,near to home,mother,less than 15 min,2 to 5 hours,0,yes,no,no,yes,yes,yes,yes,yes,5,3,2,1,1,Very bad,0,7,10,11,28,Very Low,Low,Excellent
GP,F,15,urban,Greater than 3,living together,primary education,primary education,at_home,other,course,mother,30 min to 1 hour,<2 to 5 hours hours,0,no,yes,no,yes,no,yes,yes,yes,4,3,3,1,2,Good,0,8,0,0,8,Very Low,Moderate,Good
GP,F,17,urban,Less than 3,living together,middle education,middle education,other,other,course,father,less than 15 min,<2 to 5 hours hours,0,no,yes,no,no,yes,yes,yes,yes,3,4,4,1,3,Excellent,12,10,13,12,35,Very Low,High,Average
GP,F,16,urban,Greater than 3,apart,secondary education,higher education,services,other,course,father,less than 15 min,<2 to 5 hours hours,0,no,no,no,no,yes,yes,yes,no,3,2,1,1,4,Excellent,16,12,11,11,34,Very Low,Very Low,Average
GP,F,15,urban,Greater than 3,living together,primary education,middle education,at_home,other,course,mother,less than 15 min,2 to 5 hours,0,no,yes,yes,no,no,yes,yes,no,4,3,2,1,1,Excellent,2,10,11,11,32,Very Low,Low,Good
GP,M,16,rural,Greater than 3,living together,middle education,middle education,at_home,other,course,mother,30 min to 1 hour,<2 to 5 hours hours,0,no,no,no,no,no,yes,no,no,4,2,2,1,2,Average,2,17,15,15,47,Very Low,Low,Good
GP,F,16,urban,Greater than 3,living together,middle education,middle education,other,other,near to home,mother,less than 15 min,2 to 5 hours,0,no,yes,yes,no,no,yes,yes,no,5,1,5,1,1,Good,0,6,7,0,13,Very Low,Very High,Excellent
GP,M,16,urban,Greater than 3,living together,primary education,none,other,other,reputation,mother,15 to 30 min to 1 hour0 min,2 to 5 hours,0,no,yes,yes,yes,yes,yes,yes,yes,4,3,2,1,1,Average,2,13,15,16,44,Very Low,Low,Good
GP,M,17,urban,Less than 3,living together,higher education,higher education,teacher,other,reputation,mother,less than 15 min,2 to 5 hours,0,no,yes,yes,yes,yes,yes,yes,no,4,4,4,1,3,Excellent,0,13,11,10,34,Very Low,High,Good
GP,F,16,urban,Less than 3,living together,secondary education,secondary education,other,other,reputation,mother,15 to 30 min to 1 hour0 min,2 to 5 hours,0,no,yes,yes,yes,yes,yes,yes,no,4,4,5,1,1,Good,4,10,11,9,30,Very Low,Very High,Good
GP,F,16,urban,Greater than 3,living together,middle education,middle education,services,other,reputation,mother,15 to 30 min to 1 hour0 min,2 to 5 hours,0,no,no,yes,yes,no,yes,yes,no,3,4,4,1,4,Excellent,2,13,13,11,37,Very Low,High,Average
GP,M,17,urban,Greater than 3,living together,secondary education,secondary education,other,other,reputation,father,less than 15 min,2 to 5 hours,0,no,no,no,yes,no,yes,yes,no,4,3,4,1,4,Good,4,6,5,6,17,Very Low,High,Good
GP,M,17,urban,Greater than 3,living together,higher education,secondary education,other,other,course,mother,less than 15 min,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,yes,5,2,3,1,1,Bad,4,10,10,11,31,Very Low,Moderate,Excellent
GP,M,16,urban,Greater than 3,living together,secondary education,secondary education,services,other,near to home,mother,less than 15 min,2 to 5 hours,0,no,no,yes,yes,yes,yes,yes,yes,4,2,3,1,2,Average,2,12,13,12,37,Very Low,Moderate,Good
GP,F,16,urban,Greater than 3,living together,secondary education,middle education,other,other,reputation,mother,less than 15 min,2 to 5 hours,0,no,yes,yes,no,yes,yes,yes,no,1,2,2,1,2,Very bad,14,12,13,12,37,Very Low,Low,Very Bad
GP,M,16,urban,Less than 3,living together,middle education,primary education,other,other,course,mother,less than 15 min,2 to 5 hours,0,no,no,yes,yes,yes,yes,yes,yes,4,2,3,1,2,Excellent,0,15,15,15,45,Very Low,Moderate,Good
GP,F,17,urban,Greater than 3,apart,secondary education,secondary education,health,other,reputation,mother,less than 15 min,2 to 5 hours,0,no,yes,no,no,no,yes,yes,yes,3,3,3,1,3,Average,6,8,7,9,24,Very Low,Moderate,Average
GP,M,17,rural,Greater than 3,living together,primary education,middle education,at_home,other,near to home,mother,less than 15 min,2 to 5 hours,0,no,no,no,no,yes,yes,no,no,3,1,3,1,5,Average,4,8,9,10,27,Very Low,Moderate,Average
GP,M,16,urban,Greater than 3,living together,middle education,secondary education,other,other,near to home,father,15 to 30 min to 1 hour0 min,<2 to 5 hours hours,0,no,no,no,no,yes,yes,yes,no,5,3,3,1,1,Average,0,13,14,14,41,Very Low,Moderate,Excellent
GP,F,16,urban,Greater than 3,living together,higher education,secondary education,health,other,near to home,mother,less than 15 min,2 to 5 hours,0,no,yes,no,yes,yes,yes,yes,no,4,3,5,1,5,Bad,2,16,16,16,48,Very Low,Very High,Good
GP,F,16,urban,Greater than 3,living together,middle education,secondary education,other,other,reputation,mother,less than 15 min,2 to 5 hours,0,yes,yes,yes,yes,yes,yes,no,no,4,4,3,1,3,Good,6,8,10,10,28,Very Low,Moderate,Good
GP,F,17,urban,Greater than 3,living together,primary education,primary education,other,other,course,mother,less than 15 min,2 to 5 hours,0,no,yes,yes,no,no,yes,no,no,4,4,4,1,3,Very bad,4,9,9,10,28,Very Low,High,Good
GP,F,17,rural,Greater than 3,living together,middle education,middle education,other,other,reputation,mother,less than 15 min,<2 to 5 hours hours,0,no,yes,no,no,yes,yes,yes,no,5,3,2,1,2,Average,18,7,6,6,19,Very Low,Low,Excellent
GP,F,16,urban,Greater than 3,living together,higher education,secondary education,teacher,other,other,mother,less than 15 min,2 to 5 hours,0,no,no,yes,yes,yes,yes,yes,yes,1,3,2,1,1,Very bad,10,11,12,13,36,Very Low,Low,Very Bad
GP,F,16,urban,Greater than 3,living together,primary education,primary education,at_home,other,near to home,mother,15 to 30 min to 1 hour0 min,<2 to 5 hours hours,0,no,yes,yes,no,yes,yes,no,no,4,3,2,1,4,Excellent,6,9,9,10,28,Very Low,Low,Good
GP,F,17,rural,Greater than 3,living together,higher education,secondary education,teacher,other,reputation,mother,15 to 30 min to 1 hour0 min,5 to 10 hours,0,no,yes,yes,yes,yes,yes,yes,yes,4,4,2,1,1,Good,6,7,7,7,21,Very Low,Low,Good
GP,F,19,urban,Greater than 3,living together,secondary education,secondary education,other,other,reputation,other,less than 15 min,>10 hours,0,no,yes,yes,yes,yes,yes,yes,no,4,3,3,1,2,Average,10,8,8,8,24,Very Low,Moderate,Good
GP,F,16,urban,Greater than 3,apart,middle education,middle education,other,other,reputation,mother,less than 15 min,2 to 5 hours,0,yes,yes,yes,no,yes,yes,yes,no,3,3,4,1,1,Good,0,12,13,14,39,Very Low,High,Average
GP,F,17,rural,Less than 3,living together,higher education,higher education,services,other,other,mother,less than 15 min,<2 to 5 hours hours,0,no,yes,yes,no,yes,yes,no,no,5,2,1,1,2,Average,12,8,10,10,28,Very Low,Very Low,Excellent
GP,F,17,urban,Less than 3,living together,secondary education,middle education,other,other,reputation,mother,15 to 30 min to 1 hour0 min,2 to 5 hours,0,no,no,yes,no,yes,yes,yes,no,4,4,4,1,3,Very bad,2,14,15,15,44,Very Low,High,Good
GP,F,17,urban,Greater than 3,living together,middle education,secondary education,at_home,other,near to home,father,15 to 30 min to 1 hour0 min,<2 to 5 hours hours,0,no,yes,yes,no,yes,yes,no,no,3,3,3,1,4,Average,3,7,7,8,22,Very Low,Moderate,Average
GP,F,17,urban,Greater than 3,living together,secondary education,middle education,other,other,course,mother,less than 15 min,2 to 5 hours,0,no,no,no,yes,no,yes,yes,no,5,3,4,1,3,Average,10,16,15,15,46,Very Low,High,Excellent
GP,F,17,urban,Greater than 3,apart,middle education,primary education,other,other,course,mother,15 to 30 min to 1 hour0 min,5 to 10 hours,0,no,no,no,yes,yes,yes,yes,yes,3,2,3,1,2,Average,10,12,10,12,34,Very Low,Moderate,Average
GP,F,17,urban,Less than 3,living together,higher education,secondary education,health,other,reputation,father,less than 15 min,2 to 5 hours,0,no,no,no,yes,yes,yes,yes,yes,3,2,3,1,2,Average,14,13,13,14,40,Very Low,Moderate,Average
GP,M,17,rural,Greater than 3,living together,middle education,middle education,other,other,course,father,15 to 30 min to 1 hour0 min,2 to 5 hours,0,no,yes,yes,yes,yes,yes,yes,no,4,5,2,1,1,Very bad,4,11,11,11,33,Very Low,Low,Good
GP,M,16,urban,Less than 3,living together,primary education,primary education,other,other,near to home,mother,15 to 30 min to 1 hour0 min,2 to 5 hours,0,no,yes,yes,no,yes,yes,yes,no,3,4,2,1,1,Excellent,18,9,7,6,22,Very Low,Low,Average
GP,M,16,urban,Greater than 3,living together,secondary education,middle education,at_home,other,reputation,mother,15 to 30 min to 1 hour0 min,5 to 10 hours,0,no,no,no,yes,yes,yes,yes,yes,5,3,3,1,3,Bad,10,11,9,10,30,Very Low,Moderate,Excellent
GP,F,16,urban,Greater than 3,living together,middle education,primary education,other,other,near to home,mother,less than 15 min,<2 to 5 hours hours,0,no,no,no,no,yes,yes,yes,yes,4,5,2,1,1,Excellent,20,13,12,12,37,Very Low,Low,Good
GP,M,17,urban,Less than 3,living together,higher education,secondary education,health,other,course,mother,15 to 30 min to 1 hour0 min,2 to 5 hours,0,no,no,no,yes,yes,yes,yes,yes,2,5,5,1,4,Excellent,14,12,12,12,36,Very Low,Very High,Bad
GP,M,16,urban,Less than 3,living together,higher education,secondary education,teacher,other,course,mother,less than 15 min,<2 to 5 hours hours,0,no,no,no,yes,no,yes,yes,no,5,4,5,1,1,Average,0,6,0,0,6,Very Low,Very High,Excellent
GP,F,18,urban,Greater than 3,living together,middle education,primary education,other,other,course,other,15 to 30 min to 1 hour0 min,5 to 10 hours,0,no,yes,yes,no,no,yes,yes,yes,4,4,4,1,1,Average,0,7,0,0,7,Very Low,High,Good
GP,M,16,urban,Greater than 3,living together,middle education,primary education,other,other,course,mother,30 min to 1 hour,<2 to 5 hours hours,0,no,no,no,no,yes,yes,yes,no,4,3,3,1,1,Good,6,18,18,18,54,Very Low,Moderate,Good
GP,M,17,urban,Greater than 3,living together,middle education,secondary education,other,other,course,father,15 to 30 min to 1 hour0 min,<2 to 5 hours hours,0,no,no,no,no,yes,yes,yes,no,5,2,2,1,1,Bad,4,12,12,13,37,Very Low,Low,Excellent
GP,M,16,urban,Greater than 3,living together,secondary education,secondary education,at_home,other,reputation,other,30 min to 1 hour,2 to 5 hours,0,yes,yes,no,no,no,yes,yes,no,5,3,3,1,3,Bad,6,7,10,10,27,Very Low,Moderate,Excellent
GP,M,16,rural,Greater than 3,living together,middle education,primary education,other,other,course,mother,15 to 30 min to 1 hour0 min,<2 to 5 hours hours,0,no,no,no,yes,no,yes,no,no,3,3,2,1,3,Average,0,8,9,8,25,Very Low,Low,Average
GP,M,18,urban,Greater than 3,living together,middle education,primary education,other,other,near to home,mother,less than 15 min,2 to 5 hours,0,no,no,no,yes,yes,yes,yes,no,5,2,4,1,2,Good,8,15,14,14,43,Very Low,High,Excellent
GP,F,18,urban,Greater than 3,living together,higher education,secondary education,services,other,near to home,father,less than 15 min,2 to 5 hours,0,no,yes,yes,no,yes,yes,yes,yes,3,1,2,1,3,Bad,21,17,18,18,53,Very Low,Low,Average
GP,M,18,urban,Greater than 3,living together,higher education,secondary education,teacher,other,course,mother,less than 15 min,2 to 5 hours,0,no,yes,yes,no,no,yes,yes,no,4,3,2,1,1,Average,2,8,8,8,24,Very Low,Low,Good
